Day,FeatureSet,Features,N_features,F1_mean,F1_median,BA_mean,BA_median,AUC_mean,AUC_median,F1_seed_20,BA_seed_20,F1_seed_17,BA_seed_17,F1_seed_75,BA_seed_75,F1_seed_27,BA_seed_27,F1_seed_33,BA_seed_33,CM_median_TN,CM_median_FP,CM_median_FN,CM_median_TP
13,MetabBase-GlutamateGlo_BCAAGlo+Morph-Area_Solidity_AR,GlutamateGlo_win_area_norm;BCAAGlo_win_area_norm;Area_win_log;Solidity_win;AR_win,5,0.7568619884610787,0.7529411764705882,0.6664444444444445,0.6733333333333333,0.7448888888888888,0.7444444444444445,0.7073170731707317,0.6233333333333333,0.7529411764705882,0.6533333333333333,0.7816091954022989,0.6733333333333333,0.7469879518072289,0.6988888888888889,0.7954545454545454,0.6833333333333333,6,3,16,34
13,MetabBase-GlutamateGlo_BCAAGlo+Morph-Area_Solidity_Complexity,GlutamateGlo_win_area_norm;BCAAGlo_win_area_norm;Area_win_log;Solidity_win;Complexity_win,5,0.7647045710174594,0.7586206896551724,0.6815555555555555,0.6888888888888889,0.7204444444444444,0.72,0.7317073170731707,0.6888888888888889,0.7816091954022989,0.6733333333333333,0.7586206896551724,0.6077777777777778,0.7469879518072289,0.6988888888888889,0.8045977011494253,0.7388888888888889,7,2,20,30
13,MetabBase-GlutamateGlo_BCAAGlo+Morph-Area_AR_Complexity,GlutamateGlo_win_area_norm;BCAAGlo_win_area_norm;Area_win_log;AR_win;Complexity_win,5,0.7649876259694716,0.7674418604651163,0.6815555555555555,0.6888888888888889,0.7315555555555555,0.7266666666666667,0.7764705882352941,0.7188888888888889,0.7674418604651163,0.6633333333333333,0.7586206896551724,0.6077777777777778,0.7317073170731707,0.6888888888888889,0.7906976744186046,0.7288888888888889,7,2,20,30
13,MetabBase-GlutamateGlo_BCAAGlo+Morph-Feret_Circ._Solidity,GlutamateGlo_win_area_norm;BCAAGlo_win_area_norm;Feret_win;Circ._win;Solidity_win,5,0.7629498734165356,0.7816091954022989,0.6906666666666667,0.6833333333333333,0.7551111111111111,0.7488888888888888,0.7,0.6688888888888889,0.7816091954022989,0.6733333333333333,0.7906976744186046,0.7288888888888889,0.7954545454545454,0.6833333333333333,0.7469879518072289,0.6988888888888889,6,3,15,35
13,MetabBase-GlutamateGlo_BCAAGlo+Morph-Feret_Circ._AR,GlutamateGlo_win_area_norm;BCAAGlo_win_area_norm;Feret_win;Circ._win;AR_win,5,0.7673470177585517,0.7674418604651163,0.6835555555555556,0.6888888888888889,0.7493333333333333,0.7444444444444445,0.7317073170731707,0.6888888888888889,0.7816091954022989,0.6733333333333333,0.7674418604651163,0.6633333333333333,0.8089887640449438,0.6933333333333334,0.7469879518072289,0.6988888888888889,7,2,20,30
13,MetabBase-GlutamateGlo_BCAAGlo+Morph-Feret_Circ._Complexity,GlutamateGlo_win_area_norm;BCAAGlo_win_area_norm;Feret_win;Circ._win;Complexity_win,5,0.7618257762758782,0.7586206896551724,0.6502222222222223,0.6477777777777778,0.7377777777777778,0.7133333333333334,0.7228915662650602,0.6333333333333333,0.8131868131868132,0.6477777777777778,0.7586206896551724,0.6077777777777778,0.7674418604651163,0.6633333333333333,0.7469879518072289,0.6988888888888889,5,4,13,37
13,MetabBase-GlutamateGlo_BCAAGlo+Morph-Feret_Solidity_AR,GlutamateGlo_win_area_norm;BCAAGlo_win_area_norm;Feret_win;Solidity_win;AR_win,5,0.766468805179448,0.7674418604651163,0.6926666666666667,0.6888888888888889,0.7515555555555554,0.7488888888888888,0.7317073170731707,0.6888888888888889,0.7816091954022989,0.6733333333333333,0.7674418604651163,0.6633333333333333,0.8045977011494253,0.7388888888888889,0.7469879518072289,0.6988888888888889,7,2,20,30
13,MetabBase-GlutamateGlo_BCAAGlo+Morph-Feret_Solidity_Complexity,GlutamateGlo_win_area_norm;BCAAGlo_win_area_norm;Feret_win;Solidity_win;Complexity_win,5,0.7583852276287837,0.7529411764705882,0.6573333333333333,0.6533333333333333,0.7377777777777778,0.7266666666666667,0.7317073170731707,0.6888888888888889,0.7816091954022989,0.6733333333333333,0.7727272727272727,0.6177777777777778,0.7529411764705882,0.6533333333333333,0.7529411764705882,0.6533333333333333,6,3,18,32
13,MetabBase-GlutamateGlo_BCAAGlo+Morph-Feret_AR_Complexity,GlutamateGlo_win_area_norm;BCAAGlo_win_area_norm;Feret_win;AR_win;Complexity_win,5,0.7746255775766602,0.7619047619047619,0.6784444444444444,0.7088888888888889,0.7471111111111111,0.7355555555555555,0.7619047619047619,0.7088888888888889,0.8,0.6377777777777778,0.7586206896551724,0.6077777777777778,0.7619047619047619,0.7088888888888889,0.7906976744186046,0.7288888888888889,7,2,18,32
13,MetabBase-GlutamateGlo_BCAAGlo+Morph-Circ._Solidity_AR,GlutamateGlo_win_area_norm;BCAAGlo_win_area_norm;Circ._win;Solidity_win;AR_win,5,0.75962716975322,0.7764705882352941,0.718,0.6988888888888889,0.7657777777777778,0.7466666666666667,0.6835443037974683,0.6588888888888889,0.7816091954022989,0.6733333333333333,0.7764705882352941,0.7188888888888889,0.8095238095238095,0.8400000000000001,0.7469879518072289,0.6988888888888889,7,2,19,31
